Id, Situacao, qntElementos, Média, espaçoVazio
267,alocado,34,103533,3520139
238,liberado,34,102643,3489886
268,alocado,34,103331,3513270
269,alocado,34,103189,3508442
270,alocado,34,102398,3481539
92,liberado,34,101611,3454782
271,alocado,35,99502,3482595
272,alocado,35,99126,3469440
73,liberado,35,98474,3446595
273,alocado,35,98769,3456934
245,liberado,35,97791,3422697
274,alocado,35,98376,3443186
275,alocado,35,97579,3415277
248,liberado,35,96128,3364503
276,alocado,36,94266,3393596
277,alocado,36,94004,3384155
278,alocado,36,92780,3340095
279,alocado,36,92726,3338140
280,alocado,36,91585,3297088
281,alocado,36,89921,3237179
164,liberado,36,89794,3232587
282,alocado,37,88949,3291126
283,alocado,37,87975,3255096
284,alocado,37,86245,3191100
285,alocado,37,84611,3130610
86,liberado,37,82997,3070913
286,alocado,38,81497,3096917
207,liberado,38,80942,3075810
287,alocado,39,78936,3078520
288,alocado,39,78758,3071576
289,alocado,39,77896,3037974
290,alocado,39,77221,3011639
291,alocado,39,75624,2949351
292,alocado,39,74511,2905949
293,alocado,39,74125,2890900
294,alocado,39,73485,2865932
263,liberado,39,72900,2843118
295,alocado,40,71778,2871123
296,alocado,40,71640,2865633
100,liberado,40,70712,2828507
297,alocado,41,69908,2866262
140,liberado,41,68948,2826902
298,alocado,42,67714,2844023
104,liberado,42,66600,2797222
299,alocado,42,66718,2802180
229,liberado,42,65771,2762408
271,liberado,43,64521,2774411
300,alocado,44,63353,2787566
67,liberado,44,63245,2782817
169,liberado,44,63795,2806990
81,liberado,45,62854,2828448
301,alocado,46,61663,2836535
88,liberado,46,60551,2785378
172,liberado,47,59685,2805226
302,alocado,47,59903,2815478
303,alocado,47,58918,2769168
275,liberado,47,58850,2765965
90,liberado,48,58682,2816739
259,liberado,48,59537,2857816
304,alocado,49,59239,2902749
305,alocado,49,58537,2868354
148,liberado,49,58089,2846372
283,liberado,50,57028,2851440
306,alocado,51,57165,2915436
307,alocado,51,56236,2868036
308,alocado,51,55899,2850863
309,alocado,51,55884,2850108
24,liberado,51,55405,2825673
310,alocado,52,55045,2862370
25,liberado,52,54979,2858920
165,liberado,52,55570,2889679
215,liberado,51,56680,2890680
276,liberado,52,55979,2910950
311,alocado,52,56161,2920391
312,alocado,52,55267,2873899
39,liberado,52,54237,2820355
313,alocado,53,53872,2855262
221,liberado,53,53090,2813804
158,liberado,54,52605,2840680
304,liberado,55,52234,2872884
314,alocado,55,52859,2907279
69,liberado,55,52738,2900592
278,liberado,56,52746,2953824
133,liberado,56,52781,2955779
216,liberado,57,52557,2995760
208,liberado,58,52250,3030539
315,alocado,58,52683,3055621
316,alocado,58,52207,3028014
317,alocado,58,51215,2970504
318,alocado,58,51144,2966366
319,alocado,58,50495,2928758
320,alocado,58,49869,2892453
321,alocado,58,49309,2859968
277,liberado,58,49262,2857196
322,alocado,58,50021,2901256
323,alocado,58,49223,2854987
175,liberado,58,49210,2854233
210,liberado,58,49348,2862225
324,alocado,58,49361,2862985
325,alocado,58,48947,2838977
326,alocado,58,48689,2824018
57,liberado,58,47838,2774606
327,alocado,58,48679,2823385
58,liberado,58,48231,2797450
328,alocado,58,48871,2834555
272,liberado,58,48159,2793249
329,alocado,59,47730,2816094
19,liberado,59,47394,2796304
330,alocado,58,48412,2807951
331,alocado,58,47577,2759504
28,liberado,58,47389,2748586
217,liberado,58,48245,2798210
332,alocado,58,48543,2815538
333,alocado,58,48313,2802193
334,alocado,58,47595,2760542
335,alocado,58,47071,2730127
