Id, Situacao, qntElementos, Média, espaçoVazio 
243,alocado,28,119831,3355276
244,alocado,28,119143,3336006
245,alocado,28,118678,3323003
246,alocado,28,116958,3274849
44,liberado,28,116568,3263907
247,alocado,28,118511,3318331
248,alocado,28,117533,3290931
35,liberado,28,117439,3288313
249,alocado,28,117577,3292160
153,liberado,28,116598,3264770
15,liberado,29,113567,3293450
240,liberado,30,111281,3338444
250,alocado,31,108769,3371861
128,liberado,31,107607,3335830
251,alocado,32,104948,3358350
181,liberado,32,103335,3306746
252,alocado,33,100701,3323149
253,alocado,33,99748,3291697
167,liberado,33,99544,3284972
165,liberado,34,97986,3331537
247,liberado,34,98611,3352782
140,liberado,34,99417,3380182
170,liberado,35,97082,3397876
254,alocado,36,95248,3428948
203,liberado,36,94572,3404605
255,alocado,37,93361,3454369
256,alocado,37,91911,3400726
159,liberado,37,91679,3392127
257,alocado,38,90283,3430758
169,liberado,38,89802,3412493
258,alocado,37,92615,3426759
139,liberado,37,91470,3384398
225,liberado,37,92069,3406581
259,alocado,38,90754,3448679
260,alocado,38,89902,3416296
261,alocado,38,89276,3392510
262,alocado,38,88024,3344932
263,alocado,38,87177,3312727
264,alocado,38,86470,3285880
265,alocado,38,86186,3275086
266,alocado,38,85438,3246650
173,liberado,38,84745,3220323
267,alocado,39,83891,3271772
268,alocado,39,82563,3219987
269,alocado,39,81780,3189444
24,liberado,39,80467,3138217
231,liberado,40,79273,3170924
1,liberado,40,79914,3196598
270,alocado,41,78894,3234670
271,alocado,41,77742,3187454
272,alocado,41,76688,3144218
273,alocado,41,75640,3101247
274,alocado,41,74398,3050342
275,alocado,41,74085,3037496
276,alocado,41,73193,3000941
277,alocado,41,72139,2957703
278,alocado,41,71678,2938822
279,alocado,41,71587,2935075
280,alocado,41,70545,2892361
281,alocado,41,70424,2887391
217,liberado,41,68934,2826320
282,alocado,41,69400,2845402
283,alocado,41,68550,2810550
284,alocado,41,67349,2761324
285,alocado,41,66246,2716110
286,alocado,41,65448,2683370
172,liberado,41,64017,2624716
287,alocado,42,63102,2650315
117,liberado,42,61769,2594310
288,alocado,43,61282,2635157
289,alocado,43,60987,2622447
110,liberado,43,60887,2618163
131,liberado,44,60282,2652423
290,alocado,45,59736,2688137
187,liberado,45,59100,2659541
291,alocado,46,58734,2701784
292,alocado,46,57793,2658507
293,alocado,46,57303,2635964
154,liberado,46,56909,2617844
292,liberado,46,57485,2644330
118,liberado,46,57975,2666873
0,liberado,46,59086,2717984
179,liberado,47,58166,2733810
278,liberado,48,57840,2776334
294,alocado,48,57918,2780081
295,alocado,48,57175,2744404
289,liberado,48,57006,2736305
296,alocado,48,57095,2740589
297,alocado,48,56551,2714492
298,alocado,48,56367,2705629
259,liberado,48,56041,2689984
299,alocado,48,56715,2722367
300,alocado,48,55936,2684957
301,alocado,48,55046,2642211
302,alocado,48,54926,2636494
303,alocado,48,53996,2591813
218,liberado,48,53096,2548636
82,liberado,49,53139,2603839
304,alocado,50,52564,2628224
305,alocado,50,51455,2572795
306,alocado,50,51042,2552115
90,liberado,50,50401,2520092
307,alocado,51,49944,2547180
308,alocado,51,48833,2490527
309,alocado,51,47870,2441406
310,alocado,51,46643,2378820
294,liberado,51,45799,2335768
93,liberado,51,46498,2371445
185,liberado,52,45636,2373079
311,alocado,53,45345,2403291
312,alocado,53,44588,2363186
174,liberado,53,43877,2325483
313,alocado,53,44449,2355808
314,alocado,53,43918,2327664
235,liberado,53,43841,2323591
186,liberado,53,44581,2362835
315,alocado,52,46108,2397646
316,alocado,52,45101,2345273
317,alocado,52,44201,2298494
303,liberado,52,43285,2250838
318,alocado,53,43283,2294015
126,liberado,53,43015,2279815
319,alocado,54,43376,2342311
320,alocado,54,42307,2284621
68,liberado,54,41342,2232477
264,liberado,55,41054,2257973
42,liberado,55,41250,2268767
311,liberado,56,41387,2317679
321,alocado,56,42103,2357784
190,liberado,56,41966,2350149
322,alocado,57,42054,2397094
323,alocado,57,41487,2364767
324,alocado,57,40901,2331368
284,liberado,57,40322,2298389
325,alocado,58,40406,2343603
326,alocado,58,39364,2283129
327,alocado,58,38831,2252215
328,alocado,58,38657,2242152
329,alocado,58,38190,2215036
196,liberado,58,37931,2200055
330,alocado,59,38134,2249936
331,alocado,59,37710,2224942
332,alocado,59,37401,2206675
171,liberado,59,37331,2202583
244,liberado,59,37671,2222618
265,liberado,60,37260,2235621
129,liberado,60,37734,2264057
147,liberado,60,38391,2303518
333,alocado,60,38924,2335461
334,alocado,60,38619,2317194
197,liberado,60,38104,2286266
182,liberado,60,38131,2287862
335,alocado,60,38620,2317237
210,liberado,60,38276,2296600
45,liberado,60,39076,2344592
336,alocado,60,39386,2363183
188,liberado,60,38602,2316176
337,alocado,60,39392,2363537
338,alocado,60,39295,2357724
72,liberado,60,38613,2316831
267,liberado,61,38095,2323823
339,alocado,62,38316,2375608
340,alocado,62,38292,2374123
341,alocado,62,37924,2351295
342,alocado,62,36976,2292548
226,liberado,62,36670,2273561
343,alocado,62,36903,2288000
344,alocado,62,36176,2242949
204,liberado,62,36009,2232581
62,liberado,63,35497,2236365
288,liberado,64,35291,2258647
345,alocado,65,34943,2271357
81,liberado,65,34561,2246527
222,liberado,65,34754,2259048
224,liberado,66,35033,2312229
346,alocado,66,35890,2368792
347,alocado,66,35330,2331828
6,liberado,66,35140,2319294
348,alocado,67,35243,2361323
349,alocado,67,35209,2359067
350,alocado,67,34305,2298452
351,alocado,67,33990,2277339
352,alocado,67,33552,2248009
353,alocado,67,33147,2220882
354,alocado,67,32649,2187483
119,liberado,67,32065,2148418
355,alocado,67,32680,2189610
180,liberado,67,31870,2135304
352,liberado,67,32089,2150026
184,liberado,67,32494,2177153
215,liberado,67,33360,2235153
316,liberado,68,33516,2279150
114,liberado,68,34204,2325929
356,alocado,69,33725,2327083
357,alocado,69,33631,2320570
329,liberado,69,32719,2257634
227,liberado,69,32936,2272615
358,alocado,69,33523,2313139
163,liberado,69,33095,2283584
46,liberado,70,32739,2291770
302,liberado,70,33473,2343137
283,liberado,71,33631,2387818
359,alocado,72,33847,2437044
7,liberado,72,33294,2397212
360,alocado,72,33959,2445111
83,liberado,72,33092,2382644
40,liberado,72,33618,2420504
37,liberado,72,34097,2455008
54,liberado,73,33980,2480568
63,liberado,74,34369,2543373
361,alocado,74,35046,2593451
362,alocado,74,35020,2591517
363,alocado,74,34506,2553498
109,liberado,74,34315,2539337
189,liberado,75,34584,2593860
201,liberado,76,34176,2597414
191,liberado,76,34483,2620765
313,liberado,76,34937,2655278
306,liberado,76,35308,2683422
230,liberado,77,35265,2715445
362,liberado,78,35628,2779020
20,liberado,79,35658,2817039
364,alocado,79,36014,2845136
365,alocado,79,35354,2793018
366,alocado,79,35160,2777681
319,liberado,79,35087,2771900
367,alocado,79,35817,2829590
368,alocado,79,35471,2802279
369,alocado,79,35324,2790619
370,alocado,79,35162,2777807
371,alocado,79,34734,2744019
372,alocado,79,34513,2726549
373,alocado,79,34481,2724051
374,alocado,79,33861,2675083
375,alocado,79,33714,2663460
376,alocado,79,32979,2605365
377,alocado,79,32419,2561115
320,liberado,79,32204,2544165
378,alocado,80,32453,2596309
379,alocado,80,31718,2537473
380,alocado,80,31282,2502634
282,liberado,80,31051,2484157
381,alocado,79,31886,2519009
293,liberado,79,31604,2496781
193,liberado,79,31834,2514901
382,alocado,79,32114,2537052
383,alocado,79,31420,2482198
374,liberado,79,30749,2429243
384,alocado,79,30897,2440866
385,alocado,79,30712,2426297
386,alocado,79,30593,2416891
387,alocado,79,30299,2393654
52,liberado,79,29682,2344908
130,liberado,80,29910,2392874
84,liberado,80,30534,2442750
112,liberado,80,30919,2473541
388,alocado,80,30929,2474341
389,alocado,80,30682,2454637
205,liberado,80,30465,2437248
390,alocado,80,30591,2447328
194,liberado,80,30335,2426851
141,liberado,80,31126,2490092
391,alocado,80,31826,2546133
3,liberado,80,31474,2517934
142,liberado,80,32018,2561470
392,alocado,80,32611,2608894
393,alocado,80,32255,2580436
394,alocado,80,32238,2579049
102,liberado,80,31718,2537476
120,liberado,81,32110,2600923
395,alocado,82,31765,2604750
396,alocado,82,31514,2584188
397,alocado,82,30879,2532151
398,alocado,82,30465,2498208
399,alocado,82,30135,2471094
85,liberado,82,29981,2458492
285,liberado,82,30277,2482741
257,liberado,82,30676,2515481
400,alocado,83,30527,2533746
401,alocado,83,30491,2530772
402,alocado,83,29844,2477063
403,alocado,83,29836,2476428
404,alocado,83,29465,2445654
134,liberado,83,29167,2420907
32,liberado,84,29552,2482416
405,alocado,85,29469,2504880
406,alocado,85,29450,2503309
407,alocado,85,29283,2489108
408,alocado,85,29183,2480584
409,alocado,85,28629,2433487
232,liberado,85,28133,2391383
410,alocado,85,28669,2436879
286,liberado,85,28405,2414445
411,alocado,85,29095,2473099
391,liberado,85,28680,2437881
412,alocado,86,28675,2466080
413,alocado,86,28621,2461462
396,liberado,86,28158,2421670
414,alocado,87,28433,2473707
198,liberado,87,28396,2470460
370,liberado,87,29120,2533453
415,alocado,87,29508,2567241
416,alocado,87,29088,2530657
51,liberado,87,29022,2524982
301,liberado,87,29659,2580348
248,liberado,88,29387,2586065
310,liberado,88,29416,2588683
397,liberado,88,29906,2631735
417,alocado,88,30291,2665678
199,liberado,88,30061,2645371
228,liberado,88,30548,2688283
337,liberado,88,31260,2750949
146,liberado,88,31326,2756762
418,alocado,89,31130,2770610
407,liberado,89,30847,2745428
419,alocado,89,30943,2753952
420,alocado,89,30375,2703431
325,liberado,89,29972,2667547
314,liberado,89,30651,2728021
421,alocado,90,30356,2732094
422,alocado,90,29997,2699814
423,alocado,90,29837,2685378
424,alocado,90,29465,2651904
425,alocado,90,29271,2634397
121,liberado,90,29071,2616454
426,alocado,90,29214,2629306
22,liberado,90,29086,2617789
427,alocado,90,29126,2621401
428,alocado,90,28947,2605287
429,alocado,90,28898,2600857
200,liberado,90,28855,2596997
367,liberado,90,28943,2604925
430,alocado,90,29247,2632236
431,alocado,90,28858,2597227
432,alocado,90,28770,2589311
433,alocado,90,28431,2558848
434,alocado,90,28398,2555887
435,alocado,90,27752,2497759
436,alocado,90,27646,2488192
266,liberado,90,27436,2469329
315,liberado,90,27729,2495656
437,alocado,90,28311,2548029
385,liberado,90,27847,2506313
438,alocado,90,27952,2515719
439,alocado,90,27567,2481094
326,liberado,90,27295,2456620
379,liberado,90,27639,2487534
55,liberado,91,27718,2522373
440,alocado,91,28235,2569405
202,liberado,91,28057,2553192
441,alocado,91,28435,2587646
442,alocado,91,28222,2568234
323,liberado,91,28195,2565749
436,liberado,91,28562,2599148
443,alocado,91,28769,2618011
444,alocado,91,28385,2583066
403,liberado,91,28174,2563845
445,alocado,90,28829,2594619
446,alocado,90,28350,2551505
447,alocado,90,28072,2526535
448,alocado,90,28012,2521130
132,liberado,90,27885,2509739
449,alocado,90,28435,2559220
76,liberado,90,27813,2503180
450,alocado,91,28121,2559064
67,liberado,91,27726,2523156
375,liberado,91,27765,2526629
451,alocado,91,28403,2584724
452,alocado,91,27993,2547392
453,alocado,91,27853,2534672
454,alocado,91,27394,2492868
346,liberado,91,27169,2472441
270,liberado,91,27575,2509405
451,liberado,92,27789,2556621
133,liberado,93,27891,2593953
455,alocado,92,28360,2609147
456,alocado,92,27923,2568975
457,alocado,92,27849,2562166
207,liberado,92,27637,2542618
458,alocado,91,28225,2568546
38,liberado,91,28133,2560103
371,liberado,91,28689,2610772
459,alocado,92,28567,2628242
268,liberado,92,28278,2601578
442,liberado,92,28610,2632121
460,alocado,93,28329,2634606
461,alocado,93,28290,2631038
164,liberado,93,27942,2598640
426,liberado,93,28083,2611743
380,liberado,92,28513,2623260
462,alocado,92,28714,2641737
57,liberado,92,28628,2633830
463,alocado,93,28475,2648252
206,liberado,93,28309,2632789
464,alocado,93,28927,2690275
465,alocado,93,28671,2666420
236,liberado,93,28193,2621958
166,liberado,94,28371,2666956
376,liberado,94,28609,2689260
350,liberado,94,29079,2733510
411,liberado,95,28996,2754623
249,liberado,95,29366,2789841
307,liberado,95,29655,2817231
466,alocado,96,29936,2873884
467,alocado,96,29766,2857628
381,liberado,96,29681,2849385
229,liberado,95,30227,2871613
468,alocado,94,30551,2871802
469,alocado,94,29992,2819276
439,liberado,94,29945,2814913
470,alocado,94,30206,2839387
471,alocado,94,29957,2816011
472,alocado,94,29427,2766141
473,alocado,94,29105,2735937
211,liberado,94,28950,2721386
474,alocado,94,29212,2745943
372,liberado,94,28612,2689619
175,liberado,95,28338,2692117
297,liberado,95,28770,2733229
475,alocado,95,28864,2742092
476,alocado,95,28225,2681427
477,alocado,95,27784,2639510
478,alocado,95,27673,2628977
479,alocado,95,27106,2575141
53,liberado,95,26634,2530234
480,alocado,95,26980,2563180
158,liberado,95,26621,2529020
481,alocado,95,26941,2559431
482,alocado,95,26845,2550345
483,alocado,95,26727,2539120
70,liberado,95,26683,2534890
484,alocado,96,26847,2577385
116,liberado,96,26531,2547018
253,liberado,96,26643,2557787
485,alocado,96,26713,2564512
486,alocado,96,26314,2526168
487,alocado,96,26136,2509149
488,alocado,96,25922,2488518
489,alocado,96,25657,2463161
160,liberado,96,25560,2453830
490,alocado,97,25372,2461176
348,liberado,97,25100,2434791
279,liberado,96,25385,2437047
176,liberado,97,25564,2479761
491,alocado,97,25774,2500080
492,alocado,97,25302,2454344
493,alocado,97,24993,2424413
312,liberado,97,24730,2398823
23,liberado,98,24862,2436526
494,alocado,98,25262,2475696
415,liberado,98,25149,2464638
4,liberado,97,25785,2501222
212,liberado,97,26007,2522719
495,alocado,96,26452,2539442
25,liberado,96,26437,2538047
